"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA"
"MSHM1","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM2","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM3","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM4","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM5","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM6","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM7","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM8","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM9","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM10","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM11","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM12","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM13","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM14","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM15","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM16","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM17","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM18","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM19","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM20","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM21","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM22","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM23","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM24","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM25","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM26","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM27","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM28","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM29","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM30","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM31","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM32","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM33","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM34","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM35","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM36","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM37","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM38","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM39","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM40","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM41","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM42","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM43","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM44","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM45","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM46","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM47","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM48","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM49","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM50","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM51","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM52","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM53","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM54","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM55","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM56","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM57","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM58","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM59","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM60","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM61","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM62","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM63","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM64","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM65","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM66","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM67","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM68","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM69","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM70","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM71","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM72","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM73","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM74","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM75","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM76","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM77","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM78","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM79","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM80","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM81","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM82","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM83","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM84","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM85","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM86","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM87","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM88","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM89","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM90","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM91","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM92","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM93","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM94","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM95","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM96","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM97","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM98","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM99","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM100","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM101","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM102","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM103","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM104","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM105","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM106","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM107","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM108","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM109","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM110","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM111","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM112","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM113","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM114","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM115","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM116","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM117","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM118","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM119","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM120","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM121","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM122","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM123","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM124","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM125","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM126","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM127","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM128","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM129","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM130","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM131","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM132","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM133","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM134","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM135","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM136","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM137","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM138","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM139","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM140","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM141","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM142","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM143","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM144","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM145","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM146","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM147","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM148","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM149","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM150","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM151","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM152","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM153","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM154","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM155","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM156","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM157","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM158","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM159","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM160","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM161","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM162","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM163","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM164","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM165","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM166","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM167","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM168","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM169","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM170","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM171","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM172","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM173","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM174","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM175","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM176","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM177","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM178","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM179","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM180","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM181","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM182","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM183","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM184","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM185","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM186","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM187","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM188","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM189","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM190","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM191","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM192","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM193","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM194","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM195","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM196","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM197","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM198","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM199","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM200","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM201","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM202","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM203","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM204","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM205","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM206","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM207","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM208","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM209","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM210","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM211","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM212","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM213","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM214","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM215","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM216","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM217","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM218","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM219","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM220","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM221","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM222","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM223","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM224","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM225","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM226","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM227","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM228","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA"
"MSHM229","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM230","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM231","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM232","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM233","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM234","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA+Plant extract"
"MSHM235","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM236","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM237","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM238","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM239","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM240","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",30,"PDA+Plant extract"
"MSHM241","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM242","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM243","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA"
"MSHM244","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM245","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM246","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA"
"MSHM247","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM248","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM249","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",23,"PDA+Plant extract"
"MSHM250","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM251","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM252","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Leaf",30,"PDA+Plant extract"
"MSHM253","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM254","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM255","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA"
"MSHM256","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM257","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM258","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA"
"MSHM259","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM260","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM261","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",23,"PDA+Plant extract"
"MSHM262","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM263","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM264","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Branch",30,"PDA+Plant extract"
"MSHM265","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM266","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM267","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM268","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
"MSHM269","Sorkhe","Gypsum Soil","W2016","Acantholimon sp.","Root",23,"PDA"
